"selection3_name","selection3_url","selection3_selection4","selection3_selection5","selection3_selection6","selection3_selection7","selection3_selection8","selection3_selection9","selection3_selection10"
"CVA001","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3822&rpinum=CVA001","(OEM Part # Not Available)","FOOTSWITCH ASSEMBLY","ESU
COVIDIEN/VALLEYLAB
Force 30","RPI Part #CVA001
OEM Part # (OEM Part # Not Available)
FOOTSWITCH ASSEMBLY
Monopolar
20A @ 125/250VAC
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Monopolar
20A @ 125/250VAC","http://www.rpiparts.com/pimages/CVA001.GIF",""
"CVA016","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3822&rpinum=CVA016","202 701 854","RETURN MODULE ASSEMBLY","ESU
COVIDIEN/VALLEYLAB
Force 30","RPI Part #CVA016
OEM Part #202 701 854
RETURN MODULE ASSEMBLY
Replacement for the REM® Assembly
Switch: 0.1A @ 125/250V, 50/60 Hz.
Fits: Front Panel
Model(s) This Part Fits: Force 30, Force 40, Force FX, Force FX-8, Force FX-8C, Force FX-C
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Replacement for the REM® Assembly
Switch: 0.1A @ 125/250V, 50/60 Hz.","http://www.rpiparts.com/pimages/CVA016.GIF",""
"CVR003","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3822&rpinum=CVR003","(OEM Part # Not Available)","BIPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force 30","RPI Part #CVR003
OEM Part # (OEM Part # Not Available)
BIPOLAR RECEPTACLE
3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR003.GIF",""
"CVR004","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3822&rpinum=CVR004","(OEM Part # Not Available)","MONOPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force 30","RPI Part #CVR004
OEM Part # (OEM Part # Not Available)
MONOPOLAR RECEPTACLE
4-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","4-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR004.GIF",""
"RPF882","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3822&rpinum=RPF882","215 100 041","FUSE (6.3A, 250VAC) - 5mm x 20mm - FAST ACTING","ESU
COVIDIEN/VALLEYLAB
Force 30","RPI Part #RPF882
OEM Part #215 100 041
FUSE (6.3A, 250VAC) - 5mm x 20mm - FAST ACTING
5 per package
Type: Glass, AGC Fast Acting
Size: 5mm dia. x 20mm lg.
Fits: Power Supply/RF Board
Model(s) This Part Fits: Force 2-8, Force 30, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","5 per package
Type: Glass, AGC Fast Acting
Size: 5mm dia. x 20mm lg.","http://www.rpiparts.com/pimages/RPF882.GIF",""
"RPW906","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3822&rpinum=RPW906","(OEM Part # Not Available)","HOOK UP WIRE (BLACK)","ESU
COVIDIEN/VALLEYLAB
Force 30","RPI Part #RPW906
OEM Part # (OEM Part # Not Available)
HOOK UP WIRE (BLACK)
Sold by the foot (reel not included)
#18 AWG, 16/30 strands, UL 1569
Insulation: PVC; 221°F (105°C); 300V
For use with Footswitch Assembly (RPI Part #CVA001)
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Sold by the foot (reel not included)
#18 AWG, 16/30 strands, UL 1569
Insulation: PVC; 221°F (105°C); 300V
For use with Footswitch Assembly (RPI Part #CVA001)","http://www.rpiparts.com/pimages/RPW906.GIF",""
"CVA001","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3821&rpinum=CVA001","(OEM Part # Not Available)","FOOTSWITCH ASSEMBLY","ESU
COVIDIEN/VALLEYLAB
Force 4","RPI Part #CVA001
OEM Part # (OEM Part # Not Available)
FOOTSWITCH ASSEMBLY
Monopolar
20A @ 125/250VAC
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Monopolar
20A @ 125/250VAC","http://www.rpiparts.com/pimages/CVA001.GIF",""
"CVR003","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3821&rpinum=CVR003","(OEM Part # Not Available)","BIPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force 4","RPI Part #CVR003
OEM Part # (OEM Part # Not Available)
BIPOLAR RECEPTACLE
3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR003.GIF",""
"CVR004","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3821&rpinum=CVR004","(OEM Part # Not Available)","MONOPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force 4","RPI Part #CVR004
OEM Part # (OEM Part # Not Available)
MONOPOLAR RECEPTACLE
4-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","4-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR004.GIF",""
"RPF052","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3821&rpinum=RPF052","215 005 039","FUSE (6A, 250V) - 1/4 X 1-1/4 - FAST ACTING","ESU
COVIDIEN/VALLEYLAB
Force 4","RPI Part #RPF052
OEM Part #215 005 039
FUSE (6A, 250V) - 1/4 X 1-1/4 - FAST ACTING
5 per package
Type: Glass; AGC Fast Acting
Size: 1/4"" dia. x 1-1/4"" lg.
Also in Fuse Kit (RPI Part #RPK410)
Fits: Power Suplly/RF Board
Model(s) This Part Fits: Force 2-2, Force 4
Catalog Page(s): 5-600, 6-306
Part Description Updated: 10/23/2015","5 per package
Type: Glass; AGC Fast Acting
Size: 1/4"" dia. x 1-1/4"" lg.
Also in Fuse Kit (RPI Part #RPK410)","http://www.rpiparts.com/pimages/RPF052.GIF",""
"RPW906","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3821&rpinum=RPW906","(OEM Part # Not Available)","HOOK UP WIRE (BLACK)","ESU
COVIDIEN/VALLEYLAB
Force 4","RPI Part #RPW906
OEM Part # (OEM Part # Not Available)
HOOK UP WIRE (BLACK)
Sold by the foot (reel not included)
#18 AWG, 16/30 strands, UL 1569
Insulation: PVC; 221°F (105°C); 300V
For use with Footswitch Assembly (RPI Part #CVA001)
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Sold by the foot (reel not included)
#18 AWG, 16/30 strands, UL 1569
Insulation: PVC; 221°F (105°C); 300V
For use with Footswitch Assembly (RPI Part #CVA001)","http://www.rpiparts.com/pimages/RPW906.GIF",""
"CVA001","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3823&rpinum=CVA001","(OEM Part # Not Available)","FOOTSWITCH ASSEMBLY","ESU
COVIDIEN/VALLEYLAB
Force 40","RPI Part #CVA001
OEM Part # (OEM Part # Not Available)
FOOTSWITCH ASSEMBLY
Monopolar
20A @ 125/250VAC
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Monopolar
20A @ 125/250VAC","http://www.rpiparts.com/pimages/CVA001.GIF",""
"CVA016","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3823&rpinum=CVA016","202 701 854","RETURN MODULE ASSEMBLY","ESU
COVIDIEN/VALLEYLAB
Force 40","RPI Part #CVA016
OEM Part #202 701 854
RETURN MODULE ASSEMBLY
Replacement for the REM® Assembly
Switch: 0.1A @ 125/250V, 50/60 Hz.
Fits: Front Panel
Model(s) This Part Fits: Force 30, Force 40, Force FX, Force FX-8, Force FX-8C, Force FX-C
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Replacement for the REM® Assembly
Switch: 0.1A @ 125/250V, 50/60 Hz.","http://www.rpiparts.com/pimages/CVA016.GIF",""
"CVR003","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3823&rpinum=CVR003","(OEM Part # Not Available)","BIPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force 40","RPI Part #CVR003
OEM Part # (OEM Part # Not Available)
BIPOLAR RECEPTACLE
3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR003.GIF",""
"CVR004","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3823&rpinum=CVR004","(OEM Part # Not Available)","MONOPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force 40","RPI Part #CVR004
OEM Part # (OEM Part # Not Available)
MONOPOLAR RECEPTACLE
4-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","4-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR004.GIF",""
"RPF882","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3823&rpinum=RPF882","215 100 041","FUSE (6.3A, 250VAC) - 5mm x 20mm - FAST ACTING","ESU
COVIDIEN/VALLEYLAB
Force 40","RPI Part #RPF882
OEM Part #215 100 041
FUSE (6.3A, 250VAC) - 5mm x 20mm - FAST ACTING
5 per package
Type: Glass, AGC Fast Acting
Size: 5mm dia. x 20mm lg.
Fits: Power Supply/RF Board
Model(s) This Part Fits: Force 2-8, Force 30, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","5 per package
Type: Glass, AGC Fast Acting
Size: 5mm dia. x 20mm lg.","http://www.rpiparts.com/pimages/RPF882.GIF",""
"RPW906","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3823&rpinum=RPW906","(OEM Part # Not Available)","HOOK UP WIRE (BLACK)","ESU
COVIDIEN/VALLEYLAB
Force 40","RPI Part #RPW906
OEM Part # (OEM Part # Not Available)
HOOK UP WIRE (BLACK)
Sold by the foot (reel not included)
#18 AWG, 16/30 strands, UL 1569
Insulation: PVC; 221°F (105°C); 300V
For use with Footswitch Assembly (RPI Part #CVA001)
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Sold by the foot (reel not included)
#18 AWG, 16/30 strands, UL 1569
Insulation: PVC; 221°F (105°C); 300V
For use with Footswitch Assembly (RPI Part #CVA001)","http://www.rpiparts.com/pimages/RPW906.GIF",""
"CVA001","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3824&rpinum=CVA001","(OEM Part # Not Available)","FOOTSWITCH ASSEMBLY","ESU
COVIDIEN/VALLEYLAB
Force EZ","RPI Part #CVA001
OEM Part # (OEM Part # Not Available)
FOOTSWITCH ASSEMBLY
Monopolar
20A @ 125/250VAC
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Monopolar
20A @ 125/250VAC","http://www.rpiparts.com/pimages/CVA001.GIF",""
"CVR003","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3824&rpinum=CVR003","(OEM Part # Not Available)","BIPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force EZ","RPI Part #CVR003
OEM Part # (OEM Part # Not Available)
BIPOLAR RECEPTACLE
3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR003.GIF",""
"CVR004","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3824&rpinum=CVR004","(OEM Part # Not Available)","MONOPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force EZ","RPI Part #CVR004
OEM Part # (OEM Part # Not Available)
MONOPOLAR RECEPTACLE
4-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","4-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR004.GIF",""
"RPF882","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3824&rpinum=RPF882","215 100 041","FUSE (6.3A, 250VAC) - 5mm x 20mm - FAST ACTING","ESU
COVIDIEN/VALLEYLAB
Force EZ","RPI Part #RPF882
OEM Part #215 100 041
FUSE (6.3A, 250VAC) - 5mm x 20mm - FAST ACTING
5 per package
Type: Glass, AGC Fast Acting
Size: 5mm dia. x 20mm lg.
Fits: Power Supply/RF Board
Model(s) This Part Fits: Force 2-8, Force 30, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","5 per package
Type: Glass, AGC Fast Acting
Size: 5mm dia. x 20mm lg.","http://www.rpiparts.com/pimages/RPF882.GIF",""
"RPW906","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3824&rpinum=RPW906","(OEM Part # Not Available)","HOOK UP WIRE (BLACK)","ESU
COVIDIEN/VALLEYLAB
Force EZ","RPI Part #RPW906
OEM Part # (OEM Part # Not Available)
HOOK UP WIRE (BLACK)
Sold by the foot (reel not included)
#18 AWG, 16/30 strands, UL 1569
Insulation: PVC; 221°F (105°C); 300V
For use with Footswitch Assembly (RPI Part #CVA001)
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Sold by the foot (reel not included)
#18 AWG, 16/30 strands, UL 1569
Insulation: PVC; 221°F (105°C); 300V
For use with Footswitch Assembly (RPI Part #CVA001)","http://www.rpiparts.com/pimages/RPW906.GIF",""
"CVA001","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3826&rpinum=CVA001","(OEM Part # Not Available)","FOOTSWITCH ASSEMBLY","ESU
COVIDIEN/VALLEYLAB
Force EZ-8","RPI Part #CVA001
OEM Part # (OEM Part # Not Available)
FOOTSWITCH ASSEMBLY
Monopolar
20A @ 125/250VAC
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Monopolar
20A @ 125/250VAC","http://www.rpiparts.com/pimages/CVA001.GIF",""
"CVR003","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3826&rpinum=CVR003","(OEM Part # Not Available)","BIPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force EZ-8","RPI Part #CVR003
OEM Part # (OEM Part # Not Available)
BIPOLAR RECEPTACLE
3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR003.GIF",""
"CVR004","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3826&rpinum=CVR004","(OEM Part # Not Available)","MONOPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force EZ-8","RPI Part #CVR004
OEM Part # (OEM Part # Not Available)
MONOPOLAR RECEPTACLE
4-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","4-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR004.GIF",""
"RPF882","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3826&rpinum=RPF882","215 100 041","FUSE (6.3A, 250VAC) - 5mm x 20mm - FAST ACTING","ESU
COVIDIEN/VALLEYLAB
Force EZ-8","RPI Part #RPF882
OEM Part #215 100 041
FUSE (6.3A, 250VAC) - 5mm x 20mm - FAST ACTING
5 per package
Type: Glass, AGC Fast Acting
Size: 5mm dia. x 20mm lg.
Fits: Power Supply/RF Board
Model(s) This Part Fits: Force 2-8, Force 30, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","5 per package
Type: Glass, AGC Fast Acting
Size: 5mm dia. x 20mm lg.","http://www.rpiparts.com/pimages/RPF882.GIF",""
"RPW906","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3826&rpinum=RPW906","(OEM Part # Not Available)","HOOK UP WIRE (BLACK)","ESU
COVIDIEN/VALLEYLAB
Force EZ-8","RPI Part #RPW906
OEM Part # (OEM Part # Not Available)
HOOK UP WIRE (BLACK)
Sold by the foot (reel not included)
#18 AWG, 16/30 strands, UL 1569
Insulation: PVC; 221°F (105°C); 300V
For use with Footswitch Assembly (RPI Part #CVA001)
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Sold by the foot (reel not included)
#18 AWG, 16/30 strands, UL 1569
Insulation: PVC; 221°F (105°C); 300V
For use with Footswitch Assembly (RPI Part #CVA001)","http://www.rpiparts.com/pimages/RPW906.GIF",""
"CVA001","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3828&rpinum=CVA001","(OEM Part # Not Available)","FOOTSWITCH ASSEMBLY","ESU
COVIDIEN/VALLEYLAB
Force FX","RPI Part #CVA001
OEM Part # (OEM Part # Not Available)
FOOTSWITCH ASSEMBLY
Monopolar
20A @ 125/250VAC
Fits: E6008 Monopolar Footswitch
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Monopolar
20A @ 125/250VAC","http://www.rpiparts.com/pimages/CVA001.GIF",""
"CVA010","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3828&rpinum=CVA010","202 701 890","LINE FILTER ASSEMBLY","ESU
COVIDIEN/VALLEYLAB
Force FX","RPI Part #CVA010
OEM Part #202 701 890
LINE FILTER ASSEMBLY
5mm dia. x 20mm lg. fuses not included
10A @ 125/250VAC, 50-60 Hz
Also available: Fuse (8A, 250V) (RPI Part #RPF535) to fit 120VAC Force FX and Force FX-C, and Fuse (4A, 250V) (RPI Part #RPF533) to fit 220VAC Force FX-8 and Force FX-8C
Fits: Rear Panel
Model(s) This Part Fits: Force FX, Force FX-8, Force FX-8C, Force FX-C
Part Description Updated: 2/3/2015","5mm dia. x 20mm lg. fuses not included
10A @ 125/250VAC, 50-60 Hz
Also available: Fuse (8A, 250V) (RPI Part #RPF535) to fit 120VAC Force FX and Force FX-C, and Fuse (4A, 250V) (RPI Part #RPF533) to fit 220VAC Force FX-8 and Force FX-8C","http://www.rpiparts.com/pimages/CVA010.GIF",""
"CVA016","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3828&rpinum=CVA016","202 701 854","RETURN MODULE ASSEMBLY","ESU
COVIDIEN/VALLEYLAB
Force FX","RPI Part #CVA016
OEM Part #202 701 854
RETURN MODULE ASSEMBLY
Replacement for the REM® Assembly
Switch: 0.1A @ 125/250V, 50/60 Hz.
Fits: Front Panel
Model(s) This Part Fits: Force 30, Force 40, Force FX, Force FX-8, Force FX-8C, Force FX-C
Catalog Page(s): 5-600
Part Description Updated: 10/23/2015","Replacement for the REM® Assembly
Switch: 0.1A @ 125/250V, 50/60 Hz.","http://www.rpiparts.com/pimages/CVA016.GIF",""
"CVP012","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3828&rpinum=CVP012","1012634 (Keypad Only)/223 200 667 (Control Panel Only)","KEYPAD (FRONT PANEL)","ESU
COVIDIEN/VALLEYLAB
Force FX","Click image for larger view","Includes: Front panel keypad and control panel
Size: 3.34"" x 13.44""
Adhesive backing
Also available: Overlay (Connector Panel) (RPI Part #CVP013)","",""
"CVP013","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3828&rpinum=CVP013","1020029","OVERLAY (CONNECTOR PANEL)","ESU
COVIDIEN/VALLEYLAB
Force FX","Click image for larger view","Size: 2.12"" x 13.44""
Adhesive Backing
Also available: Keypad (Front Panel) (RPI Part #CVP012)","",""
"CVR003","http://www.rpiparts.com/PartPage.asp?equip=39&oem=212&model=3828&rpinum=CVR003","(OEM Part # Not Available)","BIPOLAR RECEPTACLE","ESU
COVIDIEN/VALLEYLAB
Force FX","RPI Part #CVR003
OEM Part # (OEM Part # Not Available)
BIPOLAR RECEPTACLE
3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)
Fits: Rear Panel
Model(s) This Part Fits: Force 1C, Force 2-2, Force 2-8, Force 30, Force 4, Force 40, Force EZ, Force EZ-8, Force EZ-8C, Force EZ-C, Force FX, Force FX-8, Force FX-8C, Force FX-C, Force Triad
Part Description Updated: 2/3/2015","3-Socket receptacle
Material: Aluminum body: clear finish
Termination style: Solder
Included in: Footswitch Receptacle Assembly (RPI Part #CVA002)","http://www.rpiparts.com/pimages/CVR003.GIF",""
